,Category,ProbableCause
74,pilot_issue,The pilot's failure attain/maintain directional control landing resulted ground loop impact terrain.
75,pilot_issue,The pilot maintain clearance wires aerial application flight.
76,pilot_issue,"The pilot's application brakes taxi, resulted nose over."
77,pilot_issue,The pilot’s inadequate compensation wind gust landing.
78,pilot_issue,A hard landing subsequent loss control.
79,flight_issue,The loss engine power due fuel starvation
80,pilot_issue,"The pilot's improper landing flare, resulted bounced landing subsequent main landing gear collapse."
81,pilot_issue,An inadequate flare resulted bounced landing pilot's failure maintain directional control.
82,pilot_issue,"The pilot's failure maintain directional control forced landing quartering tailwind, following partial loss engine power due carburetor icing."
83,pilot_issue,The pilots maintain directional control airplane landing.
84,pilot_issue,The pilot's failure maintain airplane control landing resulting nose over.
85,pilot_issue,"The pilot's failure see avoid boat's mast, resulted main rotor blade strike. Contributing accident pilot's inadequate preflight planning boat's mast measured."
86,pilot_issue,"The pilot's failure retract amphibious airplane’s landing gear prior water landing, resulted nose over."
87,pilot_issue,The pilot's failure maintain directional control landing resulting ground loop.
88,pilot_issue,The pilot's failure maintain directional landing wet grass runway.
89,pilot_issue,A loss directional control takeoff undetermined reasons.
90,environment_issue,Excessive wear left brake liners reduced brake effectiveness resulting runway excursion.
91,pilot_issue,"The flight instructor student pilot properly transfer airplane control ground rollout, resulted airplane exiting runway impacting ditch."
92,pilot_issue,"The pilot's failure attain proper approach speed, resulted overrun wet grass runway."
93,pilot_issue,"The pilot's failure maintain proper approach speed descent path runway, resulted excessive speed touchdown insufficient runway remaining safely bring airplane stop end runway. Contributing accident airplane's diminished braking due dew-covered grass runway condition."
94,pilot_issue,"The pilot's loss control landing, resulted ground loop left main landing gear collapse."
95,pilot_issue,"The pilot's failure maintain airplane control landing gusting wind conditions, flight instructor's delayed remedial action, resulted left wing striking runway."
96,pilot_issue,"The pilot's failure maintain directional control crosswind landing, resulted nose over."
97,pilot_issue,"The mechanic’s incorrect rigging aileron control cables, resulted reversal aileron control inputs applied pilot takeoff. Also causal mechanic’s inadequate post-maintenance inspection pilot's inadequate preflight inspection takeoff check, failed detect misrigging."
98,pilot_issue,The student pilot's failure maintain airplane control airplane drifted runway centerline subsequently collided taxiway sign go-around.
99,pilot_issue,The pilot's inability arrest descent rate maintain altitude encountering downdraft maneuvering low altitude near mountainous terrain resulted hard landing.
100,environment_issue,"The encounter downdrafts attempted takeoff, resulted decreased airplane's climb performance subsequent impact terrain."
101,pilot_issue,"The pilot's decision land excessive approach airspeed, resulted airplane landing long, application additional braking action stop subsequent nose over."
102,pilot_issue,"The student pilot's improper landing flare improper recovery bounced landing, resulted hard landing."
103,pilot_issue,"The pilot's failure maintain airplane control takeoff high density altitude conditions, resulted collision terrain. Contributing accident pilot's failure accomplish performance calculations atmospheric conditions."
104,pilot_issue,The flight instructor’s failure maintain control airplane following unannounced transfer flight control takeoff.
105,pilot_issue,The pilot’s inadequate inflight planning resulted loss engine power due fuel exhaustion.
106,pilot_issue,"The pilot's failure maintain directional control soft field takeoff dirt airstrip, resulted impact vehicle."
107,pilot_issue,The PA-32 pilot's failure see avoid airplane.
108,pilot_issue,The crew leader's decision throw chainsaw bar moving arc main rotor blade.
109,pilot_issue,The pilot’s failure maintain directional control landing resulting runway excursion subsequent ground loop. Contributing outcome flight instructor’s inadequate remedial actions.
110,environment_issue,encounter convective turbulence.
111,pilot_issue,"The student pilot's improper landing flare, resulted hard landing nosegear nosegear collapse."
112,pilot_issue,"The solo student pilot's improper landing flare, resulted bounced landing subsequent nose over."
113,pilot_issue,The pilot's failure maintain airplane control go-around resulted airplane exceeding critical angle attack aerodynamically stalling resulted collision ground.
114,pilot_issue,"The pilot's delayed decision abort takeoff roll, resulted runway overrun airplane nose over."
115,pilot_issue,"The pilot's distraction takeoff, resulted collision terrain."
116,pilot_issue,"The pilot's failure maintain directional control airplane landing gusting wind conditions, resulted runway excursion collision fence."
117,pilot_issue,The commercial pilot's exceedance airplane's critical angle attack subsequent loss lateral bank control soft field takeoff.
118,pilot_issue,"The left seated flight instructor’s improper manipulation landing gear position selection lever position still landing roll, ultimately resulted landing gear collapse subsequent landing."
119,pilot_issue,"The pilot's failure maintain proper glide path, resulted landing short runway, airplane’s landing gear contacting runway lip, substantial damage airplane’s right wing."
120,pilot_issue,"The student pilot's failure improper landing flare, resulted hard landing."
121,pilot_issue,"The pilot's inability maintain climb attempted takeoff high density altitude conditions, resulted forced landing road subsequent landing gear collapse."
122,flight_issue,"The National Transportation Safety Board determines probable cause contact Atlantic Huron west center pier Soo Locks following manufacturer’s requirement use thread-locking fluid installation feedback ring locking pin set screw vessel’s controllable pitch propeller system, led failure controllable pitch propeller’s oil distribution box."
123,pilot_issue,The pilot's failure initiate climb timely manner resulted contact wires.
124,pilot_issue,The pilot's failure maintain directional control landing.
125,pilot_issue,"The pilot's decision land unimproved airstrip limited go-around capabilities, improper landing flare aborted landing, subsequent failure attain sufficient altitude clear vegetation attempted go-around."
126,pilot_issue,"The pilot's improper landing flare, resulted bounced, hard landing subsequent runway overrun."
127,flight_issue,The loss engine power due stuck intake valve.
128,pilot_issue,"The loss directional control landing due fracture steering horn bolts, rendered nosewheel steering ineffective resulted airplane towed left turn limits undetermined time accident."
129,pilot_issue,"The flight instructor's delayed remedial action simulated engine failure takeoff, resulted loss directional control."
130,pilot_issue,"The pilot's loss control airplane water landing striking boat wake, resulted substantial damage fuselage."
131,pilot_issue,"The pilot's failure maintain airplane control landing crosswind excessive braking action, resulted airplane nosing over."
132,pilot_issue,"The student pilot’s failure ensure sufficient fuel onboard, resulted total loss engine power due fuel exhaustion, resulted impact terrain."
133,pilot_issue,"The pilot's distraction taxiing, resulted taxiway excursion."
134,pilot_issue,The pilot's improper decision depart unsuitable off-airport surface resulted departure area excursion impact trees.
135,pilot_issue,"The student pilot's improper landing flare failure recover ensuing bounced landing, resulted runway excursion."
136,pilot_issue,The pilot's decision land shortened field incorrect brake application. Contributing flight instructor's lack oversight.
137,pilot_issue,The pilot's failure maintain directional control takeoff resulted collision runway marker.
138,pilot_issue,"The pilot’s improper landing flare, resulted hard, bounced landing, substantial damage airplane’s fuselage."
139,pilot_issue,"The pilot’s loss directional control landing gusting crosswind conditions, resulted runway excursion collision ditch."
140,pilot_issue,"The pilot's loss airplane control approach, resulted aerodynamic stall impact vegetation terrain."
141,pilot_issue,"The pilot's failure maintain directional control landing rollout, resulted ground loop."
142,flight_issue,The reported malfunction aileron flight control system takeoff reasons could determined.
143,pilot_issue,"The pilot's failure ensure amphibious airplane’s wheels retracted attempting water landing, resulting nose touch down. Contributing accident lack checklist available pilot."
144,pilot_issue,"The pilot's failure properly configure airplane takeoff, resulted exceedance airplane's critical angle attack, aerodynamic stall, subsequent impact terrain."
145,pilot_issue,"The pilot's failure maintain directional control airplane aborted landing, resulted ground loop, runway excursion, subsequent nose over."
146,pilot_issue,The pilot's failure perform go around following bounced landing resulted aerodynamic stall.
147,pilot_issue,"The pilot's hard landing airplane's nosewheel, jammed steering, resulted runway excursion impact runway lights."
148,pilot_issue,The pilot's failure maintain directional control landing roll. The pilot fatigued likely contributed failure maintain directional control landing roll.
149,pilot_issue,The pilot's failure maintain clearance fence post initial climb.
150,pilot_issue,"The pilot's improper approach airspeed landing flare, resulted bounced landing, subsequent nose over."
151,pilot_issue,The uncertificated pilot's failure attain/maintain proper angle-of-attack initial climb resulted aerodynamic stall subsequent impact terrain.
152,pilot_issue,"The student pilot's improper landing flare, failure recover ensuing bounced landing, resulted subsequent nose landing gear collapse."
153,pilot_issue,"The pilot’s failure maintain adequate airspeed final approach turbulent conditions, resulted aerodynamic stall subsequent hard landing."
154,pilot_issue,"The pilot's failure maintain directional control takeoff, resulted runway excursion, contact airport perimeter fence, subsequent nose over."
155,pilot_issue,The pilot’s failure maintain directional control landing roll crosswind conditions.
156,pilot_issue,"The pilot's inadequate assessment landing area, resulted airplane's encounter tall weeds landing subsequent nose-over."
157,pilot_issue,"The pilot's inadequate preflight inflight fuel planning, resulted fuel exhaustion."
158,pilot_issue,"The probable cause collapse container stacks onboard barge Ho’Omaka Hou company’s absence initial barge load plan inadequate procedures monitoring stack weights, led undetected reverse stratification container stacks subjected stacks’ securing arrangements increased forces transit sea."
159,pilot_issue,The pilot's failure maintain adequate clearance fence hovering.
160,flight_issue,The loss engine power reasons could determined based available information.
161,pilot_issue,"The pilot’s failure maintain directional control landing, resulted airplane exiting runway striking ditch."
162,pilot_issue,"The student pilot's decision continue visual flight instrument meteorological conditions, resulted collision trees mountainous terrain."
163,pilot_issue,The pilot's improper decision conduct off-field precautionary landing.
164,pilot_issue,"The student pilot's improper landing flare improper recovery bounced landing gusty wind conditions, resulted hard landing."
165,pilot_issue,"The pilot's improper approach, resulted long landing runway overrun."
166,pilot_issue,The pilot's failure maintain airplane control landing gusting wind conditions.
167,pilot_issue,"The pilot's improper landing flare resulted hard, bounced landing, subsequent runway excursion. Contributing accident airplane’s aft center gravity time accident."
168,pilot_issue,"The pilot's inadequate planning, failure secure airplane prior hand-starting engine."
169,environment_issue,"The National Transportation Safety Board determines probable cause flooding sinking fishing vessel Rebecca Mary undetected flooding lazarette, likely non-watertight raised hatch."
170,pilot_issue,The pilot's failure extend airplane’s retractable landing gear landing.
171,pilot_issue,"The pilot's failure maintain adequate clearance rice vegetation, resulted helicopter's impact terrain."
172,pilot_issue,"The pilot’s improper landing flare, resulted hard, bounced landing nose landing gear collapse gusty landing."
173,pilot_issue,"The pilot's inadequate preflight inspection powered parachute, resulted takeoff twisted riser lines impaired aircraft control."
174,pilot_issue,"The pilot’s failure maintain directional control landing crosswind, resulted runway excursion nose landing gear collapse."
175,pilot_issue,"The pilot's failure maintain clearance fence post final approach resulted damage left main landing gear, subsequent collapse landing."
176,pilot_issue,"The pilot's failure maintain control airplane landing approach, resulted airplane exceeding critical angle attack, aerodynamic stall, hard landing, landing gear collapse."
177,pilot_issue,"The pilot's failure maintain airspeed landing quartering tailwind, resulted loss control hard landing."
178,pilot_issue,"The pilot's failure remove seat belt used flight control lock aft cockpit control stick takeoff, resulted loss control takeoff collision terrain."
179,pilot_issue,"A loss directional control takeoff, resulted runway excursion collision trees."
180,pilot_issue,"The pilot's improper flare, resulted hard, bounced landing."
181,pilot_issue,"The student pilot's improper landing flare, resulted hard, bounced landing."
182,pilot_issue,"The pilot's failure maintain clearance power lines maneuvering aerial application flight, resulted wire strike."
183,pilot_issue,"The pilot's failure maintain proper airspeed low altitude aerial application maneuver exceedance airplane’s critical angle attack, resulted aerodymanic stall low altiutde recover."
184,flight_issue,"The mechanic’s failure clean oil suction screen recent maintenance, resulted oil starvation subsequent total loss engine power."
185,pilot_issue,"The flight instructor's delayed remedial action, resulted hard landing loss directional control landing crosswind."
186,pilot_issue,"The pilot's failure maintain directional control landing, resulted runway excursion collision fence.The pilot's inadequate flare resulted bounced landing, failure maintain directional control resulted runway excursion collision fence."
187,pilot_issue,The pilot’s decision attempt takeoff tailwind high density altitude conditions.
188,pilot_issue,"The pilot's improper approach descent rate, resulted hard landing."
189,pilot_issue,The pilot's failure maintain proper glide path final approach resulted collision airport equipment short runway.
190,pilot_issue,A loss directional control result fractured landing gear attach bracket.
191,pilot_issue,The pilot's failure maintain directional control landing.
192,pilot_issue,"Maintenance personnel’s improper installation improperly sized clamp fuel supply line, allowed air enter supply line, subsequent loss engine power, forced landing."
193,pilot_issue,"The pilot's failure maintain control airplane crosswind landing, resulted hard landing runway excursion."
194,pilot_issue,The pilot's failure maintain directional control landing subsequent go-around gusting crosswind conditions.
195,pilot_issue,The pilot's failure maintain adequate clearance parked airplane taxiing. Contributing accident parked airplane's position double-yellow taxiway edge lines taxiway object-free movement area.
196,pilot_issue,"The pilot's incorrect flight control input landing flare, resulted impact ground."
197,pilot_issue,"The pilot’s improper decision load airplane beyond allowable gross weight limits, resulted impact tree collision terrain."
198,pilot_issue,A loss engine power undetermined reasons.
199,pilot_issue,"The pilot's failure maintain control airplane landing roll, resulted landing gear collapse."
200,pilot_issue,The pilot’s failure maintain control float-equipped airplane float became caught trailer used takeoff.
201,pilot_issue,The pilot's decision divert private airport subsequent failure maintain directional control landing turf runway contained tall grass.
202,pilot_issue,The pilot's failure maintain directional control landing.
203,flight_issue,"The National Transportation Safety Board determines probable cause fire aboard vehicle carrier Höegh Xiamen Grimaldi’s SSA Atlantic’s ineffective oversight longshoremen, identify Grimaldi’s vehicle battery securement procedures followed, resulting electrical fault improperly disconnected battery used vehicle cargo deck 8. Contributing delay detection fire crew immediately reactivating vessel’s fire detection system completion loading. Contributing extent fire master’s decision delay release carbon dioxide fixed fire extinguishing system."
204,pilot_issue,The pilot's failure maintain clearance power line maneuvering aerial application flight.
205,pilot_issue,"The pilot's failure utilze emergency landing gear extension procedure short-circuit within normal landing gear system, resulted landing gear collapse landing."
206,pilot_issue,"The pilot's failure maintain directional control airplane aborted landing, resulted ground loop, runway excursion, subsequent nose over."
207,pilot_issue,"The pilot’s failure remove object airplane’s exterior, impacted propeller blades applied full power, causing fracture damage airplane."
208,pilot_issue,"The pilot's improper fuel planning, resulted total loss engine power due fuel exhaustion impact terrain."
209,pilot_issue,The pilot's failure maintain airplane control landing gusting wind condition resulted collision terrain.
210,pilot_issue,The student pilot's failure maintain directional control airplane soft-field takeoff flight instructor's delayed remedial action.
211,pilot_issue,The pilot's failure maintain airplane control takeoff soft airstrip resulted collision objects.
212,pilot_issue,The pilot failed maintain adequate airspeed final approach impacted terrain.
213,pilot_issue,"The student pilot's improper landing flare flight instructor's inadequate supervision, resulted hard landing."
214,pilot_issue,The pilot's failure maintain airplane control landing turbulent conditions.
215,pilot_issue,"The pilot’s failure maintain proper airspeed exceedance airplane’s critical angle attack, resulted aerodynamic stall.."
216,pilot_issue,"The pilot's failure maintain directional control landing gusting wind conditions, resulted ground loop."
217,pilot_issue,The loss engine power due fuel exhaustion pilot’s improper fuel planning flight.
218,pilot_issue,The pilot's failure extend landing gear precautionary landing electrical failure.
219,pilot_issue,The pilot’s failure maintain directional control landing variable wind conditions.
220,pilot_issue,"The pilot's excessive brake application landing roll avoid animal runway, resulted ground loop."
221,pilot_issue,"The pilot's failure maintain terrain clearance departure, resulted collision terrain.."
222,pilot_issue,"The pilots failure switch fuel pump 'OFF' position landing, resulting loss engine power subsequent collision fence landing. Contributing accident modified landing checklist omitted fuel pump switch position."
223,pilot_issue,The pilot’s failure maintain control airplane takeoff.
224,pilot_issue,The pilot's failure maintain airplane directional control gusty crosswind landing.
225,pilot_issue,The pilot's failure maintain helicopter control gusting wind resulted loss altitude subsequent collision fence.
226,pilot_issue,"The pilot’s failure maintain proper descent rate landing gusting wind conditions, resulted hard landing."
227,pilot_issue,The pilot's delayed decision abort takeoff airplane attaining sufficient airspeed takeoff subsequently departed end runway collided terrain. Contributing accident pilot's inadequate preflight preparation planning decision takeoff tailwind.
228,pilot_issue,"The pilot's failure maintain directional control landing roll soft turf runway, resulted nose-over."
229,pilot_issue,Aircraft control maintained initial climb gusting wind resulted collision power lines terrain.
230,pilot_issue,"The pilot's failure maintain directional control takeoff gusting wind conditions, resulted runway excursion collision trees."
231,pilot_issue,"The pilot's loss directional control landing, resulted runway excursion."
232,pilot_issue,The pilot's loss control landing tailwheel airplane.
233,pilot_issue,The pilot's failure maintain directional control landing.
234,pilot_issue,"The pilot's loss directional control aborted takeoff tailwind, resulted noseover."
235,pilot_issue,"The pilot's failure maintain proper airspeed final approach landing, subsequent failure attain sufficient altitude clear trees attempted go-around."
236,pilot_issue,The pilot's loss control aborted landing.
237,pilot_issue,The pilot's failure maintain directional control takeoff.
238,pilot_issue,The pilot's failure maintain directional control landing. Contributing pilot getting shoe caught rudder pedal.
239,pilot_issue,The pilot's failure maintain clearance power lines go-around.
240,pilot_issue,The pilot's excessive brake input attempted maintain directional control landing roll.
241,flight_issue,A right main landing gear break malfunction landing. Contributing accident worn right main landing gear caliper pin pressure plate hole.
242,pilot_issue,The pilot's failure maintain adequate clearance ground obstacle landing.
243,pilot_issue,The pilot's loss directional control takeoff crosswind.
244,pilot_issue,"The pilot's failure maintain rotor rpm precautionary autorotation, resulted hard landing. Contributing accident airframe vibration reasons could determined examination helicopter revealed anomalies."
245,flight_issue,The airplane builder's improper installation lower right wing resulted uncommanded left roll subsequent loss control.
246,pilot_issue,The pilot's failure maintain control helicopter lift off. Contributing accident pilot's lack recent experience flying helicopter.
247,pilot_issue,An inadequate flare resulted bounced landing pilot's subsequent delayed decision go-around allow sufficient clearance trees airplane affected gusting wind.
248,pilot_issue,"The pilot's failure maintain directional control landing roll, resulted ground-loop."
249,pilot_issue,"The pilot's failure attain proper touchdown point landing tail wind, resulted runway excursion."
250,pilot_issue,"The pilot's failure maintain directional control takeoff gusting wind conditions, resulted collision trees impacted ground."
251,pilot_issue,"The failure pilot adequately maintain safe distance airplane's propeller, resulted serious injury propeller struck hand."
252,pilot_issue,"The pilot's failure retract amphibious airplane's landing gear wheels prior water landing, resulted nose over."
253,pilot_issue,The pilot's inadequate preflight fuel quantity resulted loss engine power due fuel starvation cruise flight.
254,pilot_issue,"The pilot's failure maintain directional control landing roll, resulted ground loop."
255,pilot_issue,"The pilot's decision continue flight instrument meteorological conditions airplane equipped instrument flight, forced perform precautionary landing muddy field resulting airplane nosing over."
256,pilot_issue,The pilot's failure maintain adequate landing flare resulted porpoise impact terrain.
257,pilot_issue,"The pilot's failure maintain obstacle clearance maneuvering low altitude night, resulted helicopter striking tree."
258,pilot_issue,The pilot's failure maintain directional control landing gusting crosswind conditions.
259,pilot_issue,"A loss thermal lift motor glider flight, resulted off-airport landing. Contributing accident pilot's delayed attempted engine start."
260,pilot_issue,The loss lift final approach resulted hard off-airport landing.
261,pilot_issue,A dual total loss engine power result fuel exhaustion.
262,pilot_issue,"The student pilot/builder’s addition winglets stabilator, resulted flutter overstress failure stabilator control horn."
263,environment_issue,"The National Transportation Safety Board determines probable cause collision Nomadic Milde Atlantic Venus bridge team Nomadic Milde effectively monitoring vessel’s position, therefore detecting vessel dragging anchor moved original position high water conditions proximity vessels."
264,pilot_issue,The pilot's loss directional control landing tailwheel airplane gusty wind conditions.
265,pilot_issue,"The front seat pilot's failure maintain directional control landing roll, rear seat pilot's delayed remedial control inputs subsequently resulted ground loop. Contributing accident lack communication pilot's establish clearly defined pilot-in-command roles prior accident flight."
266,flight_issue,The loss engine power due fuel starvation.
267,pilot_issue,"The pilot's failure retract speedbrakes delayed go-around attempt, resulted runway excursion."
268,pilot_issue,The pilot's diverted attention taxing resulted failure maintain clearance skip loader taxi.
269,pilot_issue,"The pilot’s decision attempt "" water ski"" atop remote river wheel-equipped airplane, resulting loss control nose over."
270,pilot_issue,"The pilot's failure maintain directional control takeoff roll, resulted runway excursion ground-loop."
271,pilot_issue,"The uncertificated pilot's failure maintain aircraft control takeoff, resulted impact terrain."
272,pilot_issue,"The pilot's failure maintain control airplane landing roll, resulted nose over."
273,pilot_issue,"Seizure hydraulic pump pulley bearing due improper installation manufacturer, leading failure hydraulic pump belt resultant partial loss hydraulic assistance pedals."
274,environment_issue,The collapse left main landing gear reasons could determined based available information.
275,pilot_issue,A primary control (aileron) system anomaly progressively worsened test flight resulted loss control. The reason anomaly determined due impact damage.
276,pilot_issue,"The pilot's failure extend landing gear runway landing, resulted gear-up landing."
277,pilot_issue,The pilot's inadvertent extension landing gear subsequent water landing wheels extended.
278,pilot_issue,"The pilot's inadequate preflight inspection fuel planning, resulted loss engine power due fuel exhaustion."
279,pilot_issue,The pilot's loss control go around.
280,pilot_issue,A gradual loss engine power takeoff due pressure regulator keeping continuous fuel pressure led precautionary airport landing collision terrain.
281,pilot_issue,"The flight instructor's improper landing flare, resulted bounced landing, subsequent loss directional control."
282,pilot_issue,"The loss engine power due fuel starvation result unporting fuel tank supply pickup helicopter maneuvered move conductor wire. Contributing accident helicopter’s inappropriate configuration type operation conducted, impeded pilot’s ability release long line perform successful emergency landing."
283,pilot_issue,"The pilot's improper decision land unsuitable terrain, resulted nose-over."
284,pilot_issue,"The pilot's failure maintain directional control landing roll gusting wind conditions, resulted roll-over."
285,pilot_issue,"The pilot's failure maintain directional control high-speed taxi quartering tailwind, resulted runway excursion impact fence terrain."
286,pilot_issue,"The student pilot’s failure maintain stabilized approach flight instructor's delayed remedial action initiate go-around, resulted runway overrun impact runway lights fences."
287,pilot_issue,"The pilot's failure maintain airplane control aborted landing, resulted collision trees."
288,pilot_issue,"The flight instructor's failure set proper rotor rpm practice autorotation, led failure maintain proper descent rate resulted hard, bounced landing."
289,environment_issue,"The airplane's encounter sunken area takeoff turf runway, resulted airplane becoming prematurely airborne impacting tree terrain."
